[2023-02-07T19:09:06.987] [WARN] warnArchive - Estado: 404, Ruta consultada: /avatar/1675789599800-profile%20leandro%20-%20fiverr.jpg, Metodo GET
[2023-02-08T17:35:02.516] [WARN] warnArchive - Estado: 404, Ruta consultada: /assets/img/home.JPG, Metodo GET
[2023-02-08T17:35:17.549] [WARN] warnArchive - Estado: 404, Ruta consultada: /assets/img/home.jpg, Metodo GET
[2023-02-08T17:35:50.240] [WARN] warnArchive - Estado: 404, Ruta consultada: /assets/img/home.jpg, Metodo GET
[2023-02-08T17:35:53.358] [WARN] warnArchive - Estado: 404, Ruta consultada: /assets/img/home.jpg, Metodo GET
[2023-02-08T17:37:28.517] [WARN] warnArchive - Estado: 404, Ruta consultada: /assets/img/home.jpg, Metodo GET
[2023-02-08T17:38:59.252] [WARN] warnArchive - Estado: 404, Ruta consultada: /home.jpg, Metodo GET
[2023-02-08T17:39:28.975] [WARN] warnArchive - Estado: 404, Ruta consultada: /home.jpg, Metodo GET
[2023-02-08T17:39:40.832] [WARN] warnArchive - Estado: 404, Ruta consultada: /home.jpg, Metodo GET
[2023-02-08T17:40:51.822] [WARN] warnArchive - Estado: 404, Ruta consultada: /home.jpg, Metodo GET
[2023-02-08T17:43:52.962] [WARN] warnArchive - Estado: 404, Ruta consultada: /public/profileImg/home.jpg'), Metodo GET
[2023-02-08T17:43:52.970] [WARN] warnArchive - Estado: 404, Ruta consultada: /profileImg/home.jpg'), Metodo GET
[2023-02-08T17:44:16.243] [WARN] warnArchive - Estado: 404, Ruta consultada: /public/profileImg/home.jpg, Metodo GET
[2023-02-08T17:59:25.553] [WARN] warnArchive - Estado: 404, Ruta consultada: /avatar/1675871934209-profile%20leandro%20-%20fiverr.jpg, Metodo GET
[2023-02-08T17:59:43.698] [WARN] warnArchive - Estado: 404, Ruta consultada: /avatar/1675871934209-profile%20leandro%20-%20fiverr.jpg, Metodo GET
[2023-02-08T18:01:22.524] [WARN] warnArchive - Estado: 404, Ruta consultada: /avatar/1675871934209-profile%20leandro%20-%20fiverr.jpg, Metodo GET
[2023-02-08T18:01:34.517] [WARN] warnArchive - Estado: 404, Ruta consultada: /index, Metodo GET
[2023-02-08T18:04:31.591] [WARN] warnArchive - Estado: 404, Ruta consultada: /profileImg/home.jpg, Metodo GET
[2023-02-08T18:09:09.795] [WARN] warnArchive - Estado: 404, Ruta consultada: /profileImg/1675871934209-profile%20leandro%20-%20fiverr.jpg, Metodo GET
[2023-02-08T18:09:43.068] [WARN] warnArchive - Estado: 404, Ruta consultada: /profileImg/1675871934209-profile%20leandro%20-%20fiverr.jpg, Metodo GET
[2023-02-12T18:54:59.891] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T18:55:08.906] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T18:55:23.353] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T18:55:25.974] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T18:55:34.860] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T18:55:37.336] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T18:55:50.360] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T18:55:53.030] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T18:55:55.910] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T18:59:59.735] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:00:02.546] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:00:08.559] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:00:12.568] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:04:46.973] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:08:26.148] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:10:04.968] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:10:17.374] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:10:20.570] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:10:26.432] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:10:28.159] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:11:02.515] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:11:23.122] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:11:42.575] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:12:23.096] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:12:34.771] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:13:02.941] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:13:20.473] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:14:06.571] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:14:11.621] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:14:15.075] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:14:21.879] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:14:25.401] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:14:34.832] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:14:40.588] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:14:43.031] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:14:49.153] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:15:20.262] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:15:22.072] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:17:57.613] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-12T19:17:59.987] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/..., Metodo GET
[2023-02-12T19:18:00.403] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
